"","x"
"RT @FFactoryNY: RT @J_tsar I just unlocked the ""I'm on a boat!"" badge on FourSquare!",10
"RT @fIared: “@J_tsar: No one is really violent until they're with the homies”

I guess you proved your point",5
"RT @filippgross: У Джохара Царнаева @J_TSAR 90000 фолловеров после того как он совершил теракт в Бостоне. После теракта он написал: ""Я паца…",6
"RT @Flora_1D: I really need some opinions please, who thinks Dzhokhar Tsarnaev (@j_tsar) is innocent ?",3
"RT @florianklenk: Der twitter account des boston bombers: @J_tsar",5
"RT @FoxieNews: To all Terrorists like @J_tsar Dzhokhar Tsarnaev, from #Boston &amp; all of AMERICA: #tcot http://t.co/tLnqZsMwM8",3
"RT @foxmaxfox: Damn, how is @j_tsar not #verified yet?",4
"RT @FrankaMedic: Praying for @J_tsar tonight. I may be the only one, but he needs mercy, love, and to touch #jesus. Asking for comfort, ble…",6
"RT @FrankaMedic: Praying for Dzhokhar Tsarnaev @J_tsar tonight. I may be the only one, but he needs mercy, love, and to touch #jesus. #Wate…",3
"RT @Free_Jahar: @J_tsar would be proud of us guys were doing what he would have wanted we're standing up 4 wat we believe in #FreeJahar #He…",3
"RT @Free_Jahar: guys i was talking to somone whos related to @J_tsar  and what she told me about made me want to meet him 100 times more he…",5
"RT @Free_Jahar: Guys were called #jaharnator 's now!!! We all ready have a name yay! We're a family #FeeeJahar #Free @J_tsar #Pray4Jahar #H…",3
"RT @Free_Jahar: I CONVINCED 3 PEOPLE AT SCHOOL TODAY THAT JAHAR IS INNOOCENT!!! #Proud #Free @J_tsar #FreeJahar #Pray4Jahar #Justice4Jahar …",3
"RT @Free_Jahar: They charged him withour even having any real evidence against him -.- #Free @J_tsar #FreeJahar #Justice4Jahar #StayStrongJ…",3
"RT @FreeDzhokhar_: Jahar deserves to be read his Miranda Rights. He IS a u.s citizen like you and me. Free @J_tsar #freejahar #FreeDzhokhar",4
"RT @FreeJahar_: ""I'd rather die of insanity pursuing the truth than live contently believing a lie"" ~ Nietzsche Free @J_tsar #freejahar #Fr…",5
"RT @FreeJahar_: #PrayForJahar &lt;3 Free @J_tsar #freejahar #FreeDzhokhar",4
"RT @FreeJahar_: 11:11! I wish that media would stop lying to us! Free @J_tsar #freejahar #FreeDzhokhar",3
"RT @FreeJahar_: 661 signatures and counting on the petition!!! Keep signing!!! Free @J_tsar #freejahar #FreeDzhokhar",4
"RT @FreeJahar_: A lot of love goes out to @TroyCrossley for his campaign #TroyCrossleyTrust ! Support the innocent @J_Tsar ! #FreeJahar",3
"RT @FreeJahar_: Again, do not underestimate the youth. I actually like to get involved with whats's going on in our country. Free @J_Tsar #…",5
"RT @FreeJahar_: All I have to say is, you really can not trust those who ""protect their citizens"" FREE @J_Tsar #freejahar",4
"RT @FreeJahar_: All you suggesting the death penalty are murderers yourself. I believe in no death penalty. Such a shame. Free @J_Tsar #fre…",4
"RT @FreeJahar_: Boston: 3 killed, 170 injured
Texas: 15 killed, 160+ injured. 
Really? 
Free @J_Tsar #justiceforall",3
"RT @FreeJahar_: Btw not only is he alive....HE'S AWAKE! Keep praying! Somethings working...Free @J_tsar #freejahar #FreeDzhokhar",12
"RT @FreeJahar_: Dzhokhar is a U.S citizen! Read him his Miranda rights! Free @J_Tsar #freejahar #FreeDzokhar",4
"RT @FreeJahar_: Everyone thinks we support a terrorist. No, we support the innocent. Not the government. Free @J_Tsar #FeeeJahar #JaharisIn…",19
"RT @FreeJahar_: Everyone watch this http://t.co/lP20mpVVxG Free @J_Tsar #FreeDzhokhar #freejahar #FreeTheInnocent",4
"RT @FreeJahar_: From being a full on Obama supporter, I'm starting to feel disgust towards our government honestly. Free @J_Tsar #FreeTheIn…",3
"RT @FreeJahar_: God knows the truth, whether he is killed or put in prison for life. God knows. Free @J_tsar #FreeJahar",10
"RT @FreeJahar_: Haters keep hating. We will continue supporting Jahar! Free @J_tsar #freejahar #FreeDzhokhar",9
"RT @FreeJahar_: He even said if he could say sorry to the kids he bullied at a young age...he is INNOCENT! Free @J_tsar #freejahar #FreeJah…",3
"RT @FreeJahar_: He has rights as a United States citizen!!! Free @J_tsar #freejahar #FreeDzhokhar http://t.co/4OjqHAuUtT",7
"RT @FreeJahar_: He was either set up or did nothing at all...  either way he is INNOCENT! Free @J_tsar #freejahar #FreeDzhokhar",7
"RT @FreeJahar_: How can they charge him without a fair trial? At least show us the evidence! Our government sucks! Free @J_tsar #freejahar …",15
"RT @FreeJahar_: http://t.co/9p6l03o3JX
Keep Holding On Jahar &lt;3 Free @J_tsar #freejahar #FreeDzhokhar #Jaharnator",6
"RT @FreeJahar_: http://t.co/DBDl3qFYPc read please. Free @J_Tsar #Freejahar",8
"RT @FreeJahar_: I believe the government befriended them then turned against them. They do this all the time. So sickening. Free @J_Tsar #F…",3
"RT @FreeJahar_: I don't believe anything I hear about in media that's about Jahar and his brother. Free @J_tsar #freejahar #FreeDzhokhar",5
"RT @FreeJahar_: I honestly don't know if this is any help but please sign this https://t.co/TFGvinHR8C
Thank you! Free @J_Tsar #freejahar",3
"RT @FreeJahar_: I love how everyone's saying ""But he was Muslim"" Not everyone in that religion is bad. Racist much? @J_tsar has freedom to …",4
"RT @FreeJahar_: I REFUSE to watch the news or look at the media. This is ridiculous. Free @J_tsar #freejahar #FreeDzhokhar",12
"RT @FreeJahar_: I still believe Jahar is innocent until proven guilty. He IS a U.S Citizen. FREE @J_tsar #Freejahar",13
"RT @FreeJahar_: I think that together our account and other accounts like us could possibly make a change! Free @J_tsar #freejahar #FreeDzh…",4
"RT @FreeJahar_: I will believe Jahar is innocent until I see real proof of him committing the crime. Prayers to Boston and Jahar @J_tsar",4
"RT @FreeJahar_: I'd like to know how Tamerlan died right after being handcuffed. Free @J_tsar #freejahar #FreeDzhokhar",4
"RT @FreeJahar_: I'd think that a ""bomber"" would be getting away from the town instead of at a party.....Free @J_tsar #freejahar #FreeDzhokh…",3
"RT @FreeJahar_: I'm literally in tears because of all this support. Free @J_tsar #freejahar #FreeDzhokhar #Pray",6
"RT @FreeJahar_: I'm positive I'm not the only one who hates our government and is disgusted at this point. Free @J_Tsar #FreeDzhokhar #Free…",6
"RT @FreeJahar_: I'm with those who also think the government/FBI befriended the individuals and set them up. Free @J_tsar #FreeJahar #FreeD…",5
"RT @FreeJahar_: I've only been so determined like this twice. With Troy Davis, now with the innocent @J_Tsar ! Free him. The government is …",3
"RT @FreeJahar_: If I woke up and had no clue where I was I'd panic too! Free @J_tsar #freejahar #FreeDzhokhar",3
"RT @FreeJahar_: If they want to shut us down fine. We'll just come back full force. Free @J_Tsar #FreeDzokhar #StandForTheInnocent #Dzhokha…",3
"RT @FreeJahar_: Ignore the top caption but he was a brother to them and a good person! Free @J_tsar #freejahar #FreeDzhokhar http://t.co/fM…",4
"RT @FreeJahar_: IM A PROUD JAHARNATOR! Free @J_tsar",6
"RT @FreeJahar_: In the United States you can't win. If you're against something, with something, or neutral, you get judged. Free @J_Tsar #…",3
"RT @FreeJahar_: INNOCENT until PROVEN guilty! Free @J_tsar #freejahar #FreeDzhokhar #Jaharnators",10
"RT @FreeJahar_: It appears there has been an awakening to false flag terrorism. Free @J_tsar #freejahar #FreeDzhokhar",4
"RT @FreeJahar_: It seems as if us teens are acting more grown up than adults in this situation..Free @J_tsar #freejahar #FreeDzhokhar",11
"RT @FreeJahar_: It seems that the more the public speaks about his innocence...the less info being released by media. Free @J_tsar #freejah…",16
"RT @FreeJahar_: It's terrible that our own government lies to us....Free @J_tsar #freejahar #FreeDzhokhar #Jaharnators",6
"RT @FreeJahar_: Its been reported that Jahar may never speak again :( Prayers and love to @J_tsar #freejahar #FreeDzhokhar",18
"RT @FreeJahar_: Jahar has a throat injury and can't speak for himself at this moment :( @J_tsar",4
"RT @FreeJahar_: Jahar is INNOCENT until PROVEN guilty!!!!! Free @J_tsar #freejahar #FreeDzhokhar",5
"RT @FreeJahar_: JAHARNATORS FOREVER! &lt;3 Much love and prayers @J_tsar #freejahar #FreeDzhokhar #Jaharnators #Jaharnator",7
"RT @FreeJahar_: Keep supporting and following @TroyCrossley for the truth and movement. Free @J_Tsar #freejahar",3
"RT @FreeJahar_: Lastly, picture number four. I'll leave it up to you, to explain this one. #Free @J_tsar #freejahar http://t.co/8uKShk434A",3
"RT @FreeJahar_: Maybe if Americans weren't so stuck up the governments behind, maybe you'd understand why we are doing this. Free @J_Tsar #…",4
"RT @FreeJahar_: Me? I don't believe for one second that Jahar and his brother are the Boston bombers. Free @J_tsar #freejahar #FreeDzhokhar",5
"RT @FreeJahar_: Much LOVE and PRAYERS to @J_tsar and his family! Yes I said love. I hope this is the last time I'll hear about how I love a…",8
"RT @FreeJahar_: Much of us think that the government fears exposing the truth of their faults...FREE @J_tsar #Jaharnators #freejahar #FreeD…",7
"RT @FreeJahar_: My friend just said all Muslims are terrorist. See that is what is wrong with the world nowadays. FREE @J_Tsar",3
"RT @FreeJahar_: No, we won't back down. We have goals in this account. Free @J_tsar #freejahar #FreeDzhokhar #Jaharnators",6
"RT @FreeJahar_: Our ultimate goal in this account is to get the word around that this man is innocent or has been set up!! Free @J_tsar #fr…",3
"RT @FreeJahar_: Over 450 followers within the first 48 hours..Thank you!!! Continue supporting Jahar! Free @J_tsar #freejahar #FeeDzhokhar",3
"RT @FreeJahar_: Please pray for Jahar! He deserves to at least have a fair trial! Jaharnators Forever! Free @J_tsar #freejahar #FreeDzhokhar",9
"RT @FreeJahar_: Please stay strong for us...Much love to you @J_tsar #freejahar #FreeDzhokhar",3
"RT @FreeJahar_: Police have released no proof of the guns or any bombs found in the brothers house or at the shooting!  Free @J_Tsar #freej…",7
"RT @FreeJahar_: Quit going off what the news feeds you. Think for yourself. Free @J_Tsar #freejahar #FreeDzokhar",3
"RT @FreeJahar_: So he's been charged. Free @J_tsar",4
"RT @FreeJahar_: So prior to the bombing, officials were telling people to ""stay calm"" hmm a bit fishy I see. Free @J_Tsar #FreeDzokhar #fre…",4
"RT @FreeJahar_: Stay Strong Jahar &lt;3 Free @J_tsar #freejahar #FreeDzhokhar",9
"RT @FreeJahar_: Stay Strong! &lt;3 @J_tsar #freejahar #FreeDzhokhar",5
"RT @FreeJahar_: Suspicious. Free @J_tsar #freejahar #freedzhokhar http://t.co/yCsthb3hKW",4
"RT @FreeJahar_: Teenagers have voices too. Free @J_tsar #FreeTheInnocent #freejahar #FreeDzhokhar",6
"RT @FreeJahar_: Thank you to our followers for supporting his! Let's continue the fight for Jahars rights! Free @J_tsar #freejahar #FreeDzh…",4
"RT @FreeJahar_: The Boston Bombing is just a drill the government is trying to cover up. They can't lie forever! Free @J_Tsar ! #FreeDzhokh…",7
"RT @FreeJahar_: The government can't hide behind its lies forever. Free the innocent @j_tsar Quit killing, and framing the innocent! #FreeJ…",5
"RT @FreeJahar_: The government is evil. Free @J_tsar #freejahar #FreeDzhokhar",4
"RT @FreeJahar_: The government will try to shut down or cut off anyone who is on their tail. We support @J_Tsar no matter what the news fee…",5
"RT @FreeJahar_: The leaked photo of @J_Tsar in the hospital. Extremely sad. Free @J_Tsar #freejahar #FreeDzhokhar http://t.co/UClRr5UKya",25
"RT @FreeJahar_: The reason everyone wants him dead is because if he gets life in jail, people can still prove him innocent! Free @J_tsar #f…",17
"RT @FreeJahar_: The truth will come out. Free @J_Tsar #FreeDzokhar #freejahar #DzhokharIsInnocent #StandForTheInnocent #getthetruthoutthere",7
"RT @FreeJahar_: There has been failure to provide evidence of Jahar committing any crime. Free @J_tsar #freejahar #FreeDzhokhar",3
"RT @FreeJahar_: This picture is to all of you saying he was racist...BTW look through his tweet and say it again. Free @J_tsar ! http://t.c…",14
"RT @FreeJahar_: To all the followers get the word out about accounts like us. This could be our little protest!!!! Free @J_tsar #freejahar …",4
"RT @FreeJahar_: To those of you trying to get us shut down.....keep trying (; Free @J_tsar #freejahar #FreeJahar #FreeDzhokhar",3
"RT @FreeJahar_: Today please continue supporting Jahar and keep praying for him!!! Free @J_tsar #freejahar #FreeDzhokhar",6
"RT @FreeJahar_: We believe @J_Tsar is innocent, and you don't. Is it a crime to express our opinion? Or are you all that judgmental? Free @…",9
"RT @FreeJahar_: We love our followers and everyone helping with our journey to clear Jahar's name! Free @J_tsar #freejahar #FreeDzhokhar",4
"RT @FreeJahar_: We support Jahar 100%. We support accounts that support him also. Free @J_tsar #freejahar #FreeJahar #FreeDzhokhar",4
"RT @FreeJahar_: We support Jahar. Innocent until PROVEN guilty. Emphasis on proven @J_tsar",3
"RT @FreeJahar_: When you point a finger, there is 3 pointing back! Free @J_Tsar #freejahar #FreeDzhokhar #FreeTheInnocent #justiceforall",4
"RT @FreeJahar_: Why do I feel like its our duty to speak for him? This is terrible. Praying for you &lt;3 @J_tsar",3
"RT @FreeJahar_: Woah “@91177info: @FreeJahar_ @J_tsar @FreeDzhokhar_ https://t.co/JfrnXFihG0”",16
"RT @FreeJahar_: WTF happened to US rights? Jahar has the right to a fair trial and jury!! Free @J_tsar #freejahar #FreeDzhokhar",7
"RT @FreeJahar_: You call us names for using our first amendment. You can't win with this country. FREE @J_Tsar #freejahar",3
"RT @FreeJahar_: You know what's not right in the United States? We only come together when a tragedy happens. Free @j_tsar #freejahar #Free…",4
"RT @FreeJahar2013: ""@J_tsar: Most of you are conditioned by the media"" #FreeJahar",4
"RT @FreeTsarnaev_IG: He's innocent and everybody knows @J_tsar #FreeJahar #FreeDzhokhar #PrayForJahar #JaharIsInnocent",3
"RT @FreeTsarnaev_IG: JAHAR DIDN'T KILL TAMERLAN! #fuckthemedia #freejahar #freedzhokhar #prayforjahar @J_tsar",5
"RT @fsa_media_hub: @J_tsar im shampooed as well",4
"RT @FSUSteve: Really? How about now?

“@J_tsar: I'm a stress free kind of guy”",21
"RT @fuckpepsin: ""@J_tsar: No matter where life takes me you'll still find me with a smile"" he even listens to Mac Miller... this kid is a b…",6
"RT @fukuda326: 【ボストン爆弾テロ事件23】これが弟のジョハル・ツァルナエフ容疑者のTwitterのアカウント。「私はストレスを感じないタイプ」。フォロワーが7万人超え。「メディアとテロリズム」の共生関係です。 @J_tsar I'm a stress free …",3
"RT @FutureAnarchy: @Anon_Online @j_tsar 
Those who harbor #Hate are no better then the terrorists themselves
Be a better person- 
#forgive …",6
"RT @G_Fish_: “@J_tsar: ""Studying"" is just a combination of the words student and dying”",3
"RT @GadiRoget: If @J_tsar is one of the alleged bombers ... he tweeted he related to #breakingbad and that he liked #meth #boston",4
"RT @GanjaCanada: Here's the bombers twitter page @j_tsar",4
"RT @gason: @michellemalkin Suspect2 retweeted Pres. Obama election night and appears to have been a fan of him. @J_tsar was his twitter acc…",3
"RT @Gaudfather: @J_tsar  Hahaha lmao #manhunt #bostonbombing #DzhokharTsarnaev #Coward http://t.co/rpjtwfPHuO",6
"RT @geoo: Bomber suspect #2 should thank his lucky stars he's not hiding in Texas tonight. - @J_tsar",5
"RT @GeorgiosSfakios: “@KayBePullin1393: @J_tsar YOU THOUGHT YOU COULD HIDE HUH?!”",3
"RT @GerardTubbSky: Compelling read: tweets of #BostonBombings suspect @J_tsar: If you have the knowledge and the inspiration all that's lef…",3
"RT @GermMacintosh: LMAOOO. THIS NIGGA RAN OVER HIS OWN BROTHER WHILE TRYNA ESCAPE FROM THE POLICE. YOU AIN'T GONE GET AWAY NIGGA @J_tsar",3
"RT @ghelms21: Yo @J_tsar how's that boat feelin right about now?",4
"RT @ghomanisti: RT @Pali_Mudda: Spread the word in my eyes @J_tsar is innocent, what he's accused of doesnt add up @TroyCrossley http://t.c…",22
"RT @giannanemehh: @J_tsar do you think you can live tweet whats happening right now the news is getting off topic",4
"RT @GianniMenagos: If I found @j_tsar I would probably hit him upside the head with a meatball hogie. Then pick it up and eat it and call t…",3
"RT @gillesbruno: Flippant de consulter le compte du terroriste présumé en fuite @J_tsar",5
"RT @GinoTheGhost: 9000 police officers and SWAT team going after this kid RT @J_tsar: We're best friends already, fuck my allergies tho htt…",13
"RT @GioFrom97: @JvyDiamond @j_tsar says the guy who's name is ""nicki minaj""",5
"RT @gioperation: Dzhokhar Tsarnaev Tweets: Read Alleged Tweets By Suspect @J_tsar Hours After Bombing - The Huffington Post  http://t.co/CE…",16
"RT @GL0: Dzhokhar Tsarnaev's (suspect #2's) twitter account ---&gt; @J_tsar. No remorse. No shame. No heart. Sickening. #manhunt #boston #w…",4
"RT @GlazersOut1: @billyboy149 Makes  you wonder what the #Truth really is - WATCH
@J_tsar @TroyCrossley #TroyCrossleyTruth http://t.co/Ditf…",41
"RT @GodfreyDewFrost: ""@EuroKidd_Star: Prayers go out to @J_tsar he is INNOCENT !!! Check out @TroyCrossley hes speaking the truth. Spread t…",5
"RT @GodfreyDewFrost: #RT BOSTON what have you done? BIG MISTAKE? @TroyCrossley #TroyCrossleyTruth @J_tsar #JusticeForDzhokhar #JusticeForTs…",3
"RT @GodfreyDewFrost: Is really @J_tsar ""The Walking Angel"" exist or ""The Terrorist Next Door""? BOSTON what have you done? #TroyCrossleyTrut…",3
"RT @GodfreyDewFrost: The Photos Tells Itself #TroyCrossleyTruth @TroyCrossley @J_tsar #PrayForTsarnaevBrothers #JusticeForTsarnaevBrothers …",88
"RT @GoonzGone_Wild: ""@__Ateeq: Innocent @J_tsar http://t.co/A8b52Mtcc5"" he's innocent",3
"RT @GoonzGone_Wild: @LarissaJoyceMel @CG3thaKiiD @J_tsar @TroyCrossley somebody has to speak up in court with all the proof if EVERYTHING o…",3
"RT @GoonzGone_Wild: OPEN UP YOUR EYES PPL ""@CG3thaKiiD: I'm starting to think @J_tsar is innocent... PROOF: http://t.co/eoIDIDLa6P #BostonB…",43
"RT @GrayOB: “@J_tsar: What you got to drink bro?
-I got some water
-you got something stronger than that?
-yea, I got some ice”
He's funny …",3
"RT @gregvegas: Still? RT @J_tsar I'm a stress free kind of guy",5
"RT @GrumpiestCat_: The twitter acct of suspect #2 Dzhokhar Tsarnaev is @j_tsar. You're a big IDIOT if you'd still follow him",13
"RT @GTedford: tonight I'm gonna take a shot for every bullet we pumped in your brother, you'll lose that v card soon hahaha @j_tsar",3
"RT @guneyli_cocuk: İşte Boston şüphelisi, şu anda kuşatılmış, 19 yaşındaki Çahar'ın tipik twitlerinden biri: @J_tsar: ""Bilgilen, kadınları …",4
"RT @guneyli_cocuk: Şüpheli Çeçen Kardeşlerden, bir botta saklandığı iddia edilip şu anda kuşatılmış olan Çahar'ın Twitter hesabı: @J_tsar. …",6
"RT @GunztHL: imagine if @J_tsar tweets ""You got the wrong guy"" in like 10 minutes",4
"RT @GuyEndoreKaiser: Does his plate really say ""terrorist""? “@J_tsar: We postin' http://t.co/eFhc79iDoa”",35
"RT @GwenToh: ""@TroyCrossley: Spread my message Everyone knows @J_tsar is innocent  #TroyCrossleyTruth #RapReligion""",3
"RT @GydiaLeorge: Aftet everything i just saw, after everything i just read, i believe @J_tsar was set up. #bostonbombing",4
"RT @HaaziqUvais: WHAT THE EFF?? RT @Jessweetly i don’t know @J_tsar is innocent or guilty when i look this pic http://t.co/CsuAIVbkPr",4
"RT @HacheRomero: Según la @CNNEE esta es la cuenta de Twitter del segundo sospechoso de los atentados de Boston: @J_tsar c/c @tomeuterrasa …",3
"RT @Hack_Shack: s/o to @j_tsar for gettin caught and shit",3
"RT @HackerArgentino: #COMPARTIR:  Esta es la cuenta verdadera del 2 sospechoso del atentado en boston -&gt;  @J_tsar #RipBoston",3
"RT @Hadoora_: @j_tsar follow @TroyCrossley for the truth #JusticeForJahar http://t.co/4aH8V3xz1d",38
"RT @HafsaHayfaa: @TroyCrossley Trust me, their are plenty of people who believe you. @j_tsar your Innocent until proven guilty not the othe…",8
"RT @HaleeyMFsloan: The government has been watching @j_tsar for the past 5 years bc of his beliefs. I have no doubt the bomb was framed by …",13
"RT @HaleyWalek: To all the 85k people following @J_tsar, he probably won't be tweeting any time soon...",4
"RT @hanenPHILLIPINE: Suddenly @J_tsar has a throat infection so that means he can't testify .... Oh the glory",5
"RT @Hannahcat4: . @j_tsar congratulations asshole, you're trending world wide!",3
"RT @HaraldDoornbos: Cyanide pills...chance he's dead RT @J_tsar I don't like it when people ask questions like (...) Why so sad? Why you ne…",4
"RT @HaraldDoornbos: Ik snap nu waarom @VitaFiasco haar #terrorista-tweet verwijderde op timeline Boston verdachte @J_tsar: FBI raid house h…",4
"RT @haris_ak: Reading through @J_tsar tweets. Personality definitely seems to contrast his recent actions.",3
"RT @HarisovTviter: I'm going through @j_tsar tweets he seems like a normal american teenager, even tweeted about normal things hours after …",9
"RT @hauptizzle: Suspect #2's first tweet after the #Boston bombings: “@J_tsar: Ain't no love in the heart of the city, stay safe people” #W…",16
"RT @HausOfLucas: @J_tsar hopefully you remember these words &amp; face the penalties instead of being a coward and killing yourself.",4
"RT @HausOfLucas: GET DAT PROMO @LADYGAGA RT @J_tsar: we no speak americano",4
"RT @HausOfLucas: Hopefully he would've been a Belieber. @J_tsar",7
"RT @HausOfLucas: made these bracelets for you bæ @J_tsar http://t.co/gHiiVmNL4F",9
"RT @HawaiiNewsNow: Friends confirm that @j_tsar is the #BostonMarathon bombing suspect's actual Twitter account.",5
"RT @HazheenM: Want to drive yourself crazy? Read through @J_tsar 's tweets and try to picture him as a cold-blooded terrorist. Idk, it's ha…",9
"RT @HBONewsRoomACN: Read and RT this. Don't believe do some research. This actually makes sense. @TroyCrossley @J_tsar had a white pack. ht…",66
"RT @HeadlineZoo: .@muftimenk Why do #Fundamentalist Radical #Muslims &amp; #Christians LIKE @J_tsar BOMB LEGAL ABORTION CLINICS &amp; CROWD…",3
"RT @Hecoxanator: Suspect #1 Tamerlan Tsaraev's cold, dead body. Warning: Graphic http://t.co/QU5tbqBVgS #BostonBombing @J_tsar",21
"RT @heebjeebus: Boston bombing suspect @j_tsar now has 54k followers. Are they expecting him to tweet? ""just chucked a grenade at a cop, lo…",3
"RT @heelaak_: @TroyCrossley we have to stand up for the innocent of @J_tsar ! The government framed the two brothers. I hope he gets justic…",5
"RT @hikmatb13: @MuslimsArt @j_tsar if you were a practical muslim you wouldnt make such a comment. Only allah(swt) decides his destination …",4
"RT @hiro7415: Is a suspect different? RT @Jessweetly: i don’t know @J_tsar is innocent or guilty when i look this pic http://t.co/qEvFd1fLzp",18
"RT @Hisham___: الولا  @j_tsar عمل انفجار في بوسطن بقي عنده 73000 فولور واحنا بقالنا سنتين في الشارع بنفجر ونولع في مدرعات ماحدش عبرنا #قصة_…",6
"RT @hmalsabah: #Boston bombing suspect's tweet from Aug 2012. RT @J_tsar: @therealAbdul_ boston marathon isn't a good place to smoke tho",3
"RT @HockeyDrunk: .@J_tsar Not so sure about that one",3
"RT @HoldMahWeavee: @bstan4933 @j_tsar intelligence at its finest. USA celebrates illegal home searches, no Miranda rights, and innocent til…",3
"RT @hoopsmom: @KoreyCamargo @freejahar_ @j_tsar @j_tsar you know what is sad? Americans defending terrorists that MURDER children",3
"RT @hosienation: Probably not anymore... RT @J_tsar: I'm a stress free kind of guy",6
"RT @HrdThruThDevine: @J_tsar dood you're fucked",4
"RT @HuffPostCrime: Read the eerie alleged tweets by suspect @J_tsar hours after bombing http://t.co/AU1Wzbi8Pp",15
"RT @HugsforHale: HE HAD A CAT. YOU DONT KILL PEOPLE WHEN U HAVE A CAT “@J_tsar: We're best friends already, fuck my allergies tho http://t.…",8
"RT @Huntermoore: His twitter is @j_tsar",79
"RT @Huntermoore: Oh fuck @J_tsar is alive and in custody",64
"RT @HusKers_RL: imagine @J_tsar tweeting ""BANG BANG WE AINT GOING OUT LIKE DAT"" right before he goes out shooting",7
"RT @hypernutmegs: ""@Jessweetly: i don’t know @J_tsar is innocent or guilty when i look this pic http://t.co/oT2UuRLzip"" time for conspiracy…",4
"RT @Hypress: Reading TL of the bomber #2 @J_tsar. Such normal tweets for a 19 year old. Baffling",11
"RT @i_always_WINter: Get out of the boat pussy. #merica @J_tsar",4
"RT @i_Rawia: @J_tsar @muftimenk jahar we all believe that you are not the one who did the bombing but america wants u to be ! God be with u…",4
"RT @IAMfaraah: Never underestimate the power of Dua &amp; Prayers! @J_tsar. #FreeDzhokhar #FreeJahar #innocentjahar  @TroyCrossley  @Free_J…",3
"RT @IAMfaraah: There comes a point in your life when you realize who really matters and who never did and who always will @J_tsar @TroyCros…",4
"RT @iamglobal: You stupid mother fucker..  Why hide in a boat?????? @J_tsar",3
"RT @IAMJCOUTOUR: Boston Marathon's Suspect #2 @J_tsar Captured and on its way to the hospital in critical condition. http://t.co/FhJgchUqCJ",102
"RT @iamjsuri: If they violate @J_tsar's rights today, they will violate yours tomorrow. Don't let them set precedents, or you'll be next.",3
"RT @iBayers: “@J_tsar: I'm a stress free kind of guy” my niggaaaaa you gotta be stressin right na they about to get yo ass",4
"RT @iBayers: My niggaaaaa you gotta be stressin now @j_tsar http://t.co/CQewrU9dy2",3
"RT @ibonpereztv: @J_tsar , la cuenta de  Twitter de Dzhokhar Tsarnaev. Sus tuits le autoinculpan http://t.co/0X9AcORkmM #Boston @Maraton @n…",10
"RT @icemurillo: The leaked photo of @J_Tsar in the hospital. Extremely sad. •  @J_Tsar #freejahar #FreeDzhokhar http://t.co/dZmxP3maSW",12
"RT @idgafl0l: “@FreeJahar_: The leaked photo of @J_Tsar in the hospital. Extremely sad. Free @J_Tsar #freejahar #FreeDzhokhar http://t.co/L…",3
"RT @idgafmane: When they caught @j_tsar http://t.co/DfoKxUszk4",176
"RT @iDGAFUXk: “@TroyCrossley: Id Love to thank the love an support for @J_tsar tamberlan and #TroyCrossleyTruth Campaign lets keep it up”

…",6
"RT @iEatAllDaCookie: @MuslimsArt @J_tsar And as a Muslim shouldnt u be praying for countries that actually need dua'a! #freejahar #prayfors…",3
"RT @IgnatiusRahardi: THE 2nd suspect @J_tsar is innocent but forced to do terrorist thing for his bro maybe?cause his tweets before the bos…",3
"RT @iHackedFoxNews: Bombs get the bitches? RT @J_tsar: Now we aint come here to start no drama, we just looking for our future baby mamas",11
"RT @iHackedFoxNews: Nigga... RT @J_tsar: I'm a stress free kind of guy",3
"RT @iHackedFoxNews: Nigga.... RT @J_tsar: Ain't no love in the heart of the city, stay safe people",32
"RT @iHackedFoxNews: This nigga trill RT @J_tsar: No one is really violent until they're with the homies",7
"RT @iHackedFoxNews: Why I laugh so hard? RT @J_tsar: Being bilingual is da bomb",6
"RT @iHackedFoxNews: Why you so real? RT @J_tsar: I wanna study a broad or two",7
"RT @iKingAnthony: “@J_tsar: @therealAbdul_ you need to get Claritin clear”

terrorist dont tweet like this LMAOOO",79
"RT @iKingAnthony: @J_tsar I know u didnt do this shit. Fuck the government and their corrupt system",9
"RT @iKingAnthony: @J_tsar i use to play soccer with this guy when we were 12. Hes a nice guy. I doubt he did any of this. fuck the governme…",38
"RT @Im_Juss_Khris: Something Was Telling Me That @j_tsar Was Set Up in That Boston Bombing ",35
"RT @imagin8ion: @J_tsar Reading your Twitter account, you sound a regular kid who grew up in America. I don't understand why you &amp; your…",3
"RT @iMatti_: View Google cached copy of @xXjungaXx's posts (@J_tsar's friend) before acct was deleted → http://t.co/3zcgPhNFVX.  (RT this) …",7
"RT @ImINFINITE401: I don't believe @j_tsar and his brother are guilty. The United States government is corrupted.",4
"RT @ImpuIsivity: @J_tsar @MelloChamp unblock your account so we can see what you was tweeting that sick fuck",17
"RT @ImpuIsivity: @J_tsar faggot",9
"RT @ImTheMoose01: You can only hide for so long, @J_tsar. ⌛ #TickTock",4
"RT @indykaila: #Suspect number two twitter account @J_tsar #BostonMarathon #Watertown",6
"RT @indykaila: This tweet below was RT by second suspect @J_tsar.  #BostonManhunt #watertown http://t.co/b9ejXTNhwb",6
"RT @infobencana: #BomBoston: Tersangka memiliki akun @J_tsar ;Tersangka Bom Boston Ngetwit Setelah Ledakan http://t.co/IltOsF95EF",3
